2017-10-30,Dia do Comerciário,1
2017-10-30,Dia do Balconista,2
2017-10-30,Dia da Decoração,3
2017-10-30,Dia do Ginecologista e Obstetra,4
2017-10-31,Halloween,0
2017-11-01,Dia Mundial Vegano,1
2017-11-02,Finados,0
2017-11-05,Dia da Ciência e Cultura,1
2017-11-05,Dia da Cultura,2
2017-11-05,Dia do Designer,3
2017-11-05,Dia do Inventor,4
2017-11-05,Dia do Técnico em Eletrônica,5
2017-11-09,Dia do Hoteleiro,1
2017-11-12,Dia do Diretor de Escola,1
2017-11-15,Proclamação da República,0
2017-11-15,Dia do Joalheiro,1
2017-11-17,Dia da Criatividade,1
2017-11-19,Dia da Bandeira,1
2017-11-20,Dia da Consciência Negra,1
2017-11-20,Dia do Biomédico,2
2017-11-21,Dia do Homeopata,1
2017-11-22,Dia do Músico,1
2017-11-23,Dia de Ação de Graças,1
2017-11-24,Black Friday,0
2017-11-25,Dia do Doador de Sangue,1
2017-11-27,Dia do Técnico de Seg do Trabalho,1
2017-11-30,Dia do Síndico,1
2017-12-02,Dia das Relações Públicas,1
2017-12-02,Dia de Astronomia,2
2017-12-03,Dia da Pessoa com Deficiência,1
2017-12-04,Dia da Propaganda,1
2017-12-09,Dia do Fonoaudiólogo,1
2017-12-09,Dia do Profissional de Culinária,2
2017-12-10,Dia dos Direitos Humanos,1
2017-12-11,Dia do Engenheiro,1
2017-12-15,Dia do Arquiteto e Urbanista,1
2017-12-20,Dia do Mecânico,1
2017-12-21,Dia do Artista Profissional,1
2017-12-23,Dia do Atleta Amador,1
2017-12-25,Natal,0
2017-12-28,Dia do Salva-Vidas,1
2017-12-28,Dia da Marinha Mercante,2
2018-01-01,Confraternização Universal,0
2018-01-06,Dia dos Astrólogos,1
2018-01-07,Dia do Leitor,1
2018-01-09,Dia do Astronauta,1
2018-01-14,Dia do Treinador de Futebol,1
2018-01-15,Dia do Compositor,1
2018-01-19,Dia do Cabeleireiro,1
2018-01-20,Dia do Farmacêutico,1
2018-01-24,Dia do Aposentado,1
2018-01-25,Dia do Carteiro,1
2018-01-28,Dia do Comércio Exterior,1
2018-01-30,Dia das Histórias em Quadrinhos,1
2018-02-01,Dia do Publicitário,1
2018-02-02,Dia do Agente Fiscal,1
2018-02-05,Dia do Dermatologista,1
2018-02-13,Carnaval,0
